,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
0,ostrovnoy,68.05,39.51,57.9,80,86,4.05
1,mahebourg,-20.41,57.7,69.8,77,75,12.75
2,qaanaaq,77.48,-69.36,46.78,54,0,5.41
3,zhuhai,22.28,113.57,85.35,89,20,8.05
4,cape town,-33.93,18.42,52.84,71,20,9.17
5,atuona,-9.8,-139.03,79.92,73,3,25.21
6,flinders,-34.58,150.86,60.71,95,100,13.0
7,opuwo,-18.06,13.84,58.17,39,0,8.3
8,tiksi,71.69,128.87,37.13,94,100,12.75
9,pushkinskiye gory,57.02,28.91,54.88,84,10,3.94
10,aykhal,66.0,111.5,33.8,100,90,8.95
11,castro,-24.79,-50.01,57.54,88,97,3.42
12,avarua,-21.21,-159.78,71.6,88,96,5.82
13,saskylakh,71.92,114.08,37.78,94,100,18.39
14,constitucion,-35.33,-72.42,52.9,89,100,5.39
15,albany,42.6,-73.97,87.53,37,40,7.96
16,vilyuysk,63.76,121.62,57.42,80,49,2.68
17,ushuaia,-54.8,-68.3,33.8,86,90,20.8
18,bambous virieux,-20.34,57.76,69.89,77,75,12.75
19,kodinsk,58.69,99.18,53.26,92,43,1.43
20,teknaf,20.86,92.31,80.74,88,92,2.95
21,busselton,-33.65,115.33,60.71,82,59,18.63
22,ambon,-3.7,128.18,78.8,83,40,10.29
23,maragogi,-9.01,-35.22,74.84,81,80,13.15
24,fallon,39.47,-118.78,95.97,11,40,6.93
25,kantang,7.41,99.52,76.8,85,100,2.35
26,colonelganj,27.13,81.7,88.09,59,91,2.86
27,punta arenas,-53.15,-70.92,35.29,74,20,17.22
28,rikitea,-23.12,-134.97,70.23,78,0,20.2
29,new norfolk,-42.78,147.06,43.5,86,100,2.3
30,gobabis,-22.45,18.97,51.8,43,0,3.36
31,qingdao,36.1,120.37,71.94,94,40,2.24
32,port hardy,50.7,-127.42,59.0,87,40,4.7
33,arman,59.7,150.17,60.48,68,73,3.83
34,mamakan,57.82,114.0,61.45,76,100,1.74
35,bethel,41.37,-73.41,85.57,45,1,8.05
36,clinton,42.59,-82.92,92.01,49,75,11.41
37,varhaug,58.61,5.65,54.66,99,15,7.0
38,ayan,56.45,138.17,57.09,75,0,3.78
39,mayor pablo lagerenza,-19.93,-60.77,74.57,41,100,4.41
40,hermanus,-34.42,19.23,46.99,83,15,1.01
41,torbay,47.67,-52.73,56.88,100,90,13.87
42,yellowknife,62.46,-114.35,73.15,43,20,11.41
43,kruisfontein,-34.0,24.73,51.01,90,60,1.01
44,puerto ayora,-0.74,-90.35,73.17,61,20,20.8
45,rosita,13.93,-84.4,80.33,86,100,3.4
46,beloha,-25.17,45.05,59.45,56,0,6.13
47,port elizabeth,-33.92,25.57,55.4,87,75,10.29
48,port alfred,-33.59,26.89,56.88,70,51,9.93
49,garchitorena,13.88,123.69,80.67,82,23,2.17
50,kodiak,57.79,-152.41,60.8,72,20,10.29
51,mar del plata,-38.0,-57.56,51.73,76,100,11.41
52,taybad,34.74,60.78,77.4,26,0,10.69
53,cabo san lucas,22.89,-109.91,88.12,52,5,9.17
54,tiarei,-17.53,-149.33,84.2,66,75,16.11
55,khatanga,71.97,102.5,41.04,81,100,10.11
56,pisco,-13.7,-76.22,63.79,72,75,8.05
57,kolyvan,55.31,82.74,53.6,100,57,2.24
58,hofn,64.25,-15.21,48.63,70,100,11.56
59,bontang,0.13,117.5,76.06,89,82,8.9
60,sault sainte marie,46.52,-84.33,76.03,88,90,5.82
61,zhigansk,66.77,123.37,48.15,70,1,11.61
62,thompson,55.74,-97.86,59.0,87,90,10.29
63,pevek,69.7,170.31,54.82,66,89,9.44
64,nanortalik,60.14,-45.24,45.99,83,42,3.8
65,bilibino,68.05,166.44,79.65,29,5,24.11
66,dikson,73.51,80.55,38.1,92,90,15.14
67,hambantota,6.12,81.12,84.2,66,90,10.29
68,beja,36.73,9.18,80.55,53,0,5.82
69,fortuna,40.6,-124.16,61.0,80,17,3.0
70,ponta do sol,32.67,-17.1,65.97,68,20,18.34
71,qasigiannguit,68.82,-51.19,44.6,93,100,3.36
72,butaritari,3.07,172.79,83.52,74,1,13.06
73,virginia beach,36.85,-75.98,82.96,83,75,8.05
74,hobyo,5.35,48.53,77.74,75,18,20.98
75,saint george,37.1,-113.58,101.25,12,1,6.93
76,pontes e lacerda,-15.23,-59.34,79.21,32,77,3.36
77,khor,47.89,134.95,70.27,90,52,4.05
78,crotone,39.09,17.12,76.39,60,0,4.79
79,baglung,28.27,83.59,71.83,78,99,1.16
80,raglan,-37.8,174.88,46.99,95,2,5.99
81,jamestown,42.1,-79.24,81.43,57,75,10.29
82,sur,22.57,59.53,87.89,61,93,9.98
83,araouane,18.9,-3.53,99.34,28,66,6.08
84,emerald,-23.53,148.17,53.78,66,30,1.12
85,launceston,-41.45,147.17,45.63,100,90,3.36
86,nikolskoye,59.7,30.79,54.55,87,0,1.68
87,ambilobe,-13.2,49.05,67.26,84,100,2.53
88,cidreira,-30.18,-50.21,57.54,81,100,15.1
89,ternate,0.8,127.4,77.38,83,100,4.47
90,tarauaca,-8.16,-70.77,79.18,69,15,2.77
91,bella vista,36.43,-94.23,89.64,55,1,5.82
92,xichang,27.9,102.26,61.32,77,25,1.48
93,antioch,36.21,36.16,78.8,74,0,5.82
94,najran,17.49,44.13,73.4,83,40,13.87
95,agirish,61.92,63.02,53.22,88,0,4.27
96,mataura,-46.19,168.86,39.0,83,0,3.0
97,katsuura,35.13,140.3,79.29,90,50,3.0
98,shalinskoye,55.72,93.76,54.34,96,99,2.8
99,barrow,71.29,-156.79,44.6,93,90,14.99
100,sorong,-0.88,131.25,76.87,89,91,10.6
101,kingston,18.0,-76.79,88.5,59,20,23.04
102,ketchikan,55.34,-131.65,57.2,100,90,13.87
103,kapaa,22.08,-159.32,80.78,74,90,19.46
104,mbigou,-1.9,11.91,67.32,92,97,5.14
105,yakeshi,49.28,120.73,69.12,61,0,5.01
106,hilo,19.73,-155.09,80.13,46,20,14.99
107,whitehorse,60.72,-135.05,62.85,42,75,11.41
108,bonthe,7.53,-12.51,75.87,80,100,12.73
109,bara,10.37,10.73,74.17,90,100,7.9
110,lompoc,34.64,-120.46,68.38,64,10,17.22
111,port blair,11.67,92.75,81.81,77,100,1.45
112,bredasdorp,-34.53,20.04,42.8,87,20,3.36
113,thinadhoo,0.53,72.93,82.4,71,100,6.78
114,koumac,-20.57,164.28,73.33,71,0,2.26
115,faanui,-16.48,-151.75,79.02,81,43,16.58
116,xam nua,20.42,104.04,67.48,93,100,2.53
117,east london,-33.02,27.91,60.44,66,90,13.78
118,sao filipe,14.9,-24.5,76.26,85,94,6.67
119,deputatskiy,69.3,139.9,56.14,73,36,4.63
120,chuy,-33.7,-53.46,48.56,83,100,7.14
121,sitka,57.05,-135.33,55.4,93,90,9.17
122,forio,40.73,13.86,77.14,57,2,1.01
123,russkaya polyana,49.42,31.92,66.24,83,100,5.91
124,san felipe,10.34,-68.74,77.61,88,100,2.15
125,arraial do cabo,-22.97,-42.03,71.6,94,20,3.36
126,margate,51.38,1.39,62.31,80,100,3.0
127,aklavik,68.22,-135.01,69.8,49,75,4.7
128,lokosovo,61.13,74.82,51.12,87,27,4.79
129,paita,-5.09,-81.11,66.33,75,44,18.19
130,cravo norte,6.3,-70.2,79.88,79,52,4.32
131,motygino,58.18,94.76,54.12,96,95,1.39
132,west wendover,40.74,-114.07,96.8,11,1,8.05
133,adrar,20.5,-10.07,95.92,26,0,7.92
134,melfi,41.0,15.65,74.73,60,5,1.12
135,kibaya,-5.3,36.57,54.5,91,6,5.66
136,iqaluit,63.75,-68.51,53.6,76,40,3.36
137,lavrentiya,65.58,-171.0,62.35,59,92,16.49
138,morondava,-20.28,44.28,67.66,64,0,10.25
139,vaini,-21.2,-175.2,71.6,83,75,9.17
140,georgetown,5.41,100.34,78.08,94,20,4.7
141,sanchazi,42.08,126.6,66.67,89,91,1.36
142,sarai mir,26.02,82.92,86.5,62,76,5.12
143,yichun,47.7,128.9,68.92,83,59,2.95
144,plainview,40.78,-73.47,88.5,59,1,11.41
145,comodoro rivadavia,-45.87,-67.5,39.2,80,40,10.29
146,nardaran,40.56,50.01,77.0,94,0,9.17
147,nagua,19.38,-69.85,86.0,74,40,6.93
148,ibra,22.69,58.53,82.31,63,98,4.16
149,ganzhou,28.82,115.43,76.95,93,100,5.3
150,talnakh,69.49,88.4,44.6,87,81,15.66
151,coahuayana,18.73,-103.68,80.6,74,75,5.73
152,sinnamary,5.38,-52.95,79.9,83,8,8.57
153,porto novo,6.5,2.6,77.0,88,40,10.29
154,havoysund,71.0,24.66,64.4,63,0,20.8
155,bjornevatn,69.67,29.98,60.8,72,1,12.75
156,narsaq,60.92,-46.05,51.8,71,90,10.29
157,charlestown,-32.95,151.67,55.31,97,100,5.99
158,trat,12.5,102.5,76.37,85,84,1.28
159,manado,1.49,124.85,75.2,88,20,2.24
160,trapani,37.83,12.67,75.85,69,0,2.24
161,sao joao da barra,-21.64,-41.05,73.4,88,75,13.87
162,saint-philippe,-21.36,55.77,62.31,77,66,4.7
163,haines junction,60.75,-137.51,59.52,47,26,16.84
164,kathmandu,27.72,85.32,71.6,100,75,3.36
165,norman wells,65.28,-126.83,73.4,43,75,12.75
166,brainerd,46.36,-94.2,81.55,42,1,12.75
167,yumen,40.28,97.2,69.24,24,0,4.32
168,straumen,63.87,11.3,68.0,52,100,16.11
169,camacha,33.08,-16.33,69.8,68,40,12.75
170,teya,60.38,92.63,48.85,89,0,1.07
171,vitim,59.45,112.56,59.74,67,100,7.58
172,antsohihy,-14.88,47.99,73.09,60,100,8.61
173,kavieng,-2.57,150.8,82.83,76,100,8.03
174,la esperanza,14.87,-91.57,80.6,83,75,9.17
175,clyde river,70.47,-68.59,46.4,81,1,6.93
176,nador,35.17,-2.93,77.97,83,40,3.36
177,keflavik,64.0,-22.56,50.67,87,83,12.75
178,faya,18.39,42.45,68.0,72,40,5.82
179,chokurdakh,70.63,147.92,43.32,79,99,16.11
180,le marin,14.47,-60.87,81.37,70,40,13.87
181,tasiilaq,65.61,-37.64,44.6,81,79,6.93
182,udachnyy,66.42,112.4,33.8,100,90,8.95
183,monrovia,6.3,-10.8,76.69,76,87,11.45
184,burnie,-41.07,145.92,50.0,81,100,5.23
185,kaitangata,-46.28,169.85,46.0,76,0,4.0
186,yamada,39.47,141.95,67.6,93,100,3.78
187,mackay,-21.15,149.2,59.0,72,0,8.05
188,lagoa,39.05,-27.98,72.46,92,49,11.14
189,bluff,-46.6,168.33,39.0,83,0,3.0
190,saint-georges,12.06,-61.75,86.0,70,20,11.41
191,naryan-mar,67.67,53.09,55.85,89,55,7.83
192,port hedland,-20.32,118.57,51.8,29,7,8.05
193,hithadhoo,-0.6,73.08,82.44,69,97,9.04
194,beringovskiy,63.05,179.32,65.84,65,45,4.21
195,codrington,-38.27,141.97,51.08,84,73,17.92
196,ilulissat,69.22,-51.1,44.6,93,100,3.36
197,coquimbo,-29.95,-71.34,59.0,67,51,4.7
198,grand baie,-20.02,57.58,70.0,71,100,10.0
199,kaabong,3.48,34.15,62.42,92,47,2.66
200,lazaro cardenas,17.96,-102.2,86.32,63,26,9.35
201,luanda,-8.84,13.23,71.6,88,100,8.05
202,rio gallegos,-51.62,-69.22,33.8,80,46,17.22
203,namatanai,-3.67,152.43,82.17,74,100,3.89
204,severo-kurilsk,50.68,156.12,52.03,89,99,17.2
205,hutang,31.53,119.48,73.0,99,100,2.42
206,namioka,40.71,140.59,67.64,93,75,3.36
207,mnogovershinnyy,53.94,139.92,61.77,52,56,1.3
208,san rafael del sur,11.85,-86.44,87.8,62,40,9.17
209,paamiut,61.99,-49.67,46.67,88,15,3.58
210,ribeira grande,38.52,-28.7,73.31,90,55,5.28
211,labuhan,-6.88,112.21,72.28,87,55,8.95
212,mount gambier,-37.83,140.77,48.2,81,75,10.29
213,pesca,5.55,-73.05,56.7,72,69,3.18
214,mount isa,-20.73,139.5,53.6,45,0,9.17
215,le port,-20.94,55.29,63.43,68,75,19.46
216,hobart,-42.88,147.33,44.33,87,75,3.36
217,dublin,37.7,-121.94,82.92,17,1,14.99
218,salalah,17.02,54.09,78.8,94,75,3.36
219,beisfjord,68.38,17.6,64.4,52,47,12.75
220,ust-tsilma,65.44,52.15,64.72,56,92,3.87
221,marawi,8.0,124.29,75.99,92,39,3.0
222,samana,19.21,-69.34,86.0,79,75,6.93
223,koronowo,53.31,17.94,65.48,93,100,2.24
224,ekimchan,53.07,132.97,66.33,84,47,0.65
225,carnarvon,-24.87,113.63,50.0,100,0,6.93
226,saint-denis,48.92,2.33,67.57,60,85,3.36
227,tabas,33.6,56.92,98.6,14,0,4.7
228,san pedro,14.35,121.02,79.83,88,60,1.12
229,aketi,2.74,23.78,67.6,94,96,1.23
230,moses lake,47.13,-119.28,93.24,14,1,3.36
231,mocuba,-16.84,36.99,59.54,97,6,2.28
232,hamilton,39.18,-84.53,91.83,49,1,8.05
233,san juan del sur,11.25,-85.87,86.0,66,40,8.14
234,katobu,-4.94,122.53,72.36,91,72,3.24
235,banjar,-8.19,114.97,78.8,100,20,9.17
236,provideniya,64.38,-173.3,48.2,81,99,13.42
237,andradas,-22.07,-46.57,62.76,62,0,3.76
238,bose,45.46,8.01,70.7,71,20,4.61
239,manzhouli,49.6,117.43,67.82,72,13,5.7
240,lockhart,28.62,-81.44,87.96,62,1,9.17
241,anadyr,64.75,177.48,66.09,77,43,11.18
242,bandarbeyla,9.49,50.81,79.29,71,0,22.5
243,buchach,49.06,25.39,69.01,69,81,1.01
244,pasni,25.26,63.47,84.56,80,100,13.33
245,tuktoyaktuk,69.45,-133.04,66.2,63,75,6.93
246,okha,53.57,142.95,56.8,80,0,6.58
247,puerto escondido,15.85,-97.07,86.0,70,75,5.82
248,ancud,-41.87,-73.82,41.92,75,75,12.75
249,lebu,-37.62,-73.65,50.2,81,97,10.11
250,port lincoln,-34.73,135.87,55.29,85,38,13.11
251,leningradskiy,69.38,178.42,66.49,49,61,9.28
252,kajaani,64.23,27.73,50.0,100,0,3.36
253,murray bridge,-35.12,139.27,47.55,95,2,8.46
254,rocha,-34.48,-54.33,47.19,89,100,7.87
255,tagusao,9.19,117.81,79.48,78,52,2.39
256,cobija,-11.03,-68.77,77.31,61,90,1.05
257,port-gentil,-0.72,8.78,75.2,88,20,13.11
258,te anau,-45.42,167.72,39.07,81,21,1.25
259,hami,42.8,93.45,82.17,19,0,18.12
260,pahrump,36.21,-115.98,102.47,14,3,1.99
261,fort frances,48.6,-93.4,78.17,44,1,9.17
262,umtata,-31.59,28.78,50.0,81,62,4.7
263,markova,48.68,24.41,61.52,86,91,4.41
264,saint-leu,-21.15,55.28,62.38,77,59,4.7
265,jalu,29.03,21.55,80.01,51,0,11.88
266,alice springs,-23.7,133.88,39.2,80,0,3.36
267,zaraza,9.35,-65.32,79.09,93,100,3.24
268,dingle,11.0,122.67,76.44,87,14,2.51
